ADDRESS,AMOUNT
0x6A584A29e7d68Bd006Bc6B98402E6350736Cb445,52754975256349611336
0x15041371A7aD0a8a97e5A448804dD33FD8DdE233,175309745845336771
0x4552cd2a593cf5f9efCC7bAd78cF2652D4851D88,5253957233736580904
0xaCaA09462C49b68EDc4a13f102cAd28c55e52c55,262607287234086381108
0xA81440D89C55B063edF808922311f5462a0e86de,433400330690897379835218
0xdbf889e27c7f02655E3382afa3B675A878512001,289143988571428000000000
0x80ee26256e01Bf43ABD400463E83Acc5462B04c0,4618261553884032914847
0x3112Ee463859A0b8f5D99E88aB119BCb89b3eEae,3268285675118760961
0x77FcAB3D842E4f3cB5FAEe3Ba9d538F0be4363e7,1634137784262890194
0xE2535E9e60E352490DC98E48d0f42a183F486ED4,697597597108559157944985
0xBc8bde4d93b7518cC9794c2D1309D2Da3bF7eBFf,118854990349539676454349
0xbaC3125665a0fA07981806DD261BEE2354260ba2,28175429017536888362591
0xD5B927956057075377263aaB7f8AfC12F85100dB,272857054246123126924
0xbd098dB9AD3dbaF2bDAF581340B2662d9A3CA8D2,403433836373432239106
0x7ae466596C57241459eBaE32D2E64F51Da68F3B8,123569304558904801102
0x694d2FB1c57C0dEEaF4804b3E4FEdf09Af7Ba24c,460419644194454913765811
0x1025622f307e730711509560a8c859DCaFdCe5F0,830675454002875476050837
0xb0bE5dbb8653B2e07b16BacD78b4ffbC320592F5,100169244188198570805574
0x7eFd8F03CD42D76d07DfCbDf17Be2ACE83422107,2992847445325219439836
0x516BC1625a4EF4cDC5b776f13b24c090576f91e0,936518302408711349
0x1F11093706e0A0ef46cbb8C2Bb1A9a94AD904517,200515151128584200000
0x1B3d3E0150ea0a5D0a46a353d2d05E18fafa6E81,106653082178565407400921
0xAbE36E3D0D69fa3F669C7DF71A3d9B19f7B0E712,1225493253745923690639165
0x6fc9871b9E98Cb80185B5391eC422Cc3401c0501,31602730599775829140408
0xaF27a07aacA0EF1fC8AC2Ee5e38B325DEa567003,200000822000000000370897
0x92A658d4132d3913845D0b67599B277e88A9fe75,10165200000000000000000
0x4971b6E0Dbb3Bee7AcfEeeaD8c36FC92C57D3970,200138485181548916168150
0x6066aA4522DB9e3Bb76e3Cd5cbe929191565b771,235004744315921501260822
0xffD59bdd70982912078f694dEb4adC1b3Ec60ad6,233379010343558244685158
0x3B20650Aac20c0483c02FAf22cee588185729d65,7570470271662778787531
0x8ce262e6D81C0B12E2dD8E2889d80F0951311bd3,512041552792181118159655
0xf6F5d623a16d9CDEA9543558761621a92eA08fe5,124941971527087275601409
0xCA6E28356b9f948ac09CA1591c47482c35c4bE06,170015234688937245261131
0x3635d79881D94Dc119daA95C02EF659bA6A8CAb7,146700029875937431009121
0x33951764757dD97A40ec3971599889E90bff3D2f,154409196626010187484786
0xad3b67BCA8935Cb510C8D18bD45F0b94F54A968f,1847307388890698194
0xa3C67010db8020bD71b59cDF87135E1BD8CBC6ac,162160576074915949575385
0xCc67F1723b1AEC9D6ed491211f2873F77d0c6224,18342242067517957403069
0x2fE86A2605F9c163415BbA6ddcbD0B5Bc6de886b,89506405349483928001742
0xdd85b00891508ae963FE9A42487480073e8B5551,16304740483728806253961
0x9984cF23CD8c62561b79BfC69295200Fc485236B,53856140476007500000000
0xBE6cd40cA60C0073Ebd5F4870e1928d31EF02D26,309121781707975783871087
0x970cb9bF03938b836e9e2A560Ff785aE715a8fCE,301609280411250000000000
0xAd44e33dC81CC4A2D21609C1f09541D1002e3A23,100394221889273285914030
